DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,Country code,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,ER_2010,ER_2011,ER_2012,ER_2013,ER_2014,ER_2015,ER_2016,ER_2017,ER_2018,ER_2019,ER_2020,ER_2021,ER_2022,ER_2023,ER_2024,ER_2025
IMF.STA:ER(4.0.1),NCL.XDC_USD.PA_RT.A,OBS_VALUE,New Caledonia,NCL,Domestic currency per US Dollar,Period average,Annual,Units,90.01297411,85.72955183,92.88041108,89.8502215,89.82433538,107.5532344,107.8068158,105.6330782,101.0468219,106.5889338,104.7106082,100.8802226,113.4743672,110.3471713,110.3063389,
IMF.STA:ER(4.0.1),ARE.XDC_USD.PA_RT.A,OBS_VALUE,United Arab Emirates,ARE,Domestic currency per US Dollar,Period average,Annual,Units,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,
IMF.STA:ER(4.0.1),MDG.XDC_USD.PA_RT.A,OBS_VALUE,"Madagascar, Republic of",MDG,Domestic currency per US Dollar,Period average,Annual,Units,2089.95,2025.1175,2194.966667,2206.914167,2414.811667,2933.508333,3176.539167,3116.11,3334.752255,3618.321858,3787.754058,3829.977849,4096.116184,4429.579214,4525.424721,
IMF.STA:ER(4.0.1),MAC.XDC_USD.PA_RT.A,OBS_VALUE,"Macao Special Administrative Region, People's Republic of China",MAC,Domestic currency per US Dollar,Period average,Annual,Units,8.002216667,8.018208333,7.9898635,7.989255333,7.987129,7.984960417,7.99506425,8.026001,8.072507417,8.070470333,7.989061917,8.00553175,8.065206083,8.063390083,8.03683075,
IMF.STA:ER(4.0.1),GEO.XDC_USD.PA_RT.A,OBS_VALUE,Georgia,GEO,Domestic currency per US Dollar,Period average,Annual,Units,1.782341667,1.68649543,1.651258333,1.66335,1.765666667,2.269341667,2.366725,2.509541667,2.534110833,2.818145,3.109016667,3.221558333,2.9162,2.627958333,2.720616667,
IMF.STA:ER(4.0.1),BIH.XDC_USD.PA_RT.A,OBS_VALUE,Bosnia and Herzegovina,BIH,Domestic currency per US Dollar,Period average,Annual,Units,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187,1.763491647,1.768139024,1.735352713,1.656985441,1.747086461,1.716970495,1.653606154,1.859325877,1.8092028,1.807563562,
IMF.STA:ER(4.0.1),NAM.XDC_USD.PA_RT.A,OBS_VALUE,Namibia,NAM,Domestic currency per US Dollar,Period average,Annual,Units,7.33025,7.300025,8.193770833,9.750075,10.8428875,12.88192083,14.70876667,13.3129,13.23394167,14.44869042,16.46326667,14.778675,16.35585833,18.44630833,18.32865833,
IMF.STA:ER(4.0.1),FJI.XDC_USD.PA_RT.A,OBS_VALUE,"Fiji, Republic of",FJI,Domestic currency per US Dollar,Period average,Annual,Units,1.918508678,1.790883831,1.789892817,1.841476617,1.887345358,2.097629816,2.094695939,2.066875304,2.087379789,2.160393115,2.168804924,2.070633333,2.201406987,2.250125,2.2683,
IMF.STA:ER(4.0.1),MLI.XDC_USD.PA_RT.A,OBS_VALUE,Mali,MLI,Domestic currency per US Dollar,Period average,Annual,Units,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
IMF.STA:ER(4.0.1),SLV.XDC_USD.PA_RT.A,OBS_VALUE,El Salvador,SLV,Domestic currency per US Dollar,Period average,Annual,Units,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
IMF.STA:ER(4.0.1),CAF.XDC_USD.PA_RT.A,OBS_VALUE,Central African Republic,CAF,Domestic currency per US Dollar,Period average,Annual,Units,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
IMF.STA:ER(4.0.1),GNQ.XDC_USD.PA_RT.A,OBS_VALUE,"Equatorial Guinea, Republic of",GNQ,Domestic currency per US Dollar,Period average,Annual,Units,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
